Surface,NbrPieces,NbrChambres,NbrSdb,Prix,Type_Appartement,Type_Maison,DPE_A (< 50),DPE_B (51 à 90),DPE_C (91 à 150),DPE_D (151 à 230),DPE_E (231 à 330),DPE_F (331 à 450),DPE_Vierge,latitude,longitude
100.0,6.0,4.0,1.308252427184466,98000,0,1,0,0,0,0,0,0,1,48.648531731,2.035941043
96.0,6.0,4.0,2.0,255000,0,1,0,0,0,0,0,0,1,48.645608238,2.40818892
50.0,2.0,1.0,1.0,215000,1,0,0,0,0,0,0,0,1,48.842291099,2.50400578
72.0,4.0,2.0,1.0,197000,1,0,0,0,0,0,0,0,1,48.817396568,2.516989292
100.0,4.0,3.0,2.0,49000,1,0,0,0,0,0,0,0,1,48.86287791,2.3599986
60.0,3.0,2.0,1.0,550000,1,0,0,0,0,0,0,0,1,48.86287791,2.3599986
70.0,4.0,2.0,1.0,144000,0,1,0,0,0,0,0,0,1,48.709852705,3.393426506
20.0,1.0,1.0,1.0,83000,1,0,0,0,0,0,0,0,1,48.86287791,2.3599986
86.0,5.0,3.0,1.0,325000,0,1,0,0,0,0,0,0,1,48.975019705,2.178020378
63.0,4.0,3.0,1.0,179500,1,0,0,0,0,0,0,0,1,48.986978789,1.962958272
52.0,2.0,1.0,1.0,128000,1,0,0,0,0,0,0,0,1,48.645608238,2.40818892
120.0,6.0,4.0,1.0,356000,0,1,0,0,0,0,0,0,1,48.685086033,2.266929714
34.0,1.0,2.55125284738041,1.0,134900,1,0,0,0,0,0,0,0,1,48.76689918,2.352941911
150.0,5.0,4.0,2.0,525000,0,1,0,0,0,0,0,0,1,48.601359562,2.105439998
107.0,4.0,3.0,1.0,550000,1,0,0,0,0,0,0,0,1,48.884683095,2.438075777
59.0,3.0,2.0,1.0,275000,1,0,0,0,0,0,0,0,1,48.91591925,2.287808861
89.0,4.0,3.0,1.308252427184466,1495000,0,1,0,0,0,0,0,0,1,48.902243865,2.484137001
44.0,3.0,2.0,1.0,164000,1,0,0,0,0,0,0,0,1,48.732228497,2.41098507
180.0,7.0,5.0,4.0,380000,0,1,0,0,0,0,0,0,1,48.637231884,2.769101712
77.0,4.0,2.0,1.0,169000,1,0,0,0,0,0,0,0,1,48.669432989,2.373359685
80.0,4.0,3.0,1.0,298000,0,1,0,0,0,0,0,0,1,48.932264849,2.399334869
64.0,3.0,2.0,1.0,382000,1,0,0,0,0,0,0,0,1,48.91591925,2.287808861
100.0,3.0,2.0,1.0,235000,0,1,0,0,0,0,0,0,1,48.953667315,1.671553521
85.0,4.0,3.0,1.0,256000,1,0,0,0,0,0,0,0,1,48.76689918,2.352941911
67.0,2.0,1.0,1.0,835000,1,0,0,0,0,0,0,0,1,48.86287791,2.3599986
220.0,7.0,5.0,3.0,499000,0,1,0,0,0,0,0,0,1,49.126847478,2.172466525
160.0,6.0,4.0,2.0,329000,0,1,0,0,0,0,0,0,1,48.524357339,2.697674267
69.0,4.0,2.0,1.0,260000,1,0,0,0,0,0,0,0,1,48.896772136,2.519551978
64.0,3.0,2.0,1.0,194000,1,0,0,0,0,0,0,0,1,48.896772136,2.519551978
35.0,1.0,1.0,1.0,91200,1,0,0,0,0,0,0,0,1,48.709264749,2.386718909
46.0,2.0,1.0,1.0,94000,1,0,0,0,0,0,0,0,1,48.783768446,2.454728618
65.0,3.0,2.0,1.0,345000,1,0,0,0,0,0,0,0,1,48.896168757,2.207090178
200.0,8.0,6.0,2.0,476000,0,1,0,0,0,0,0,0,1,48.898040819,2.566549678
